OrderID,CustomerID,OrderDate,ProductType,OrderValue,,,
ORDER00437,CUST0062,12/27/2025,Canvas Print,32.69,,,
ORDER00445,CUST0148,12/27/2025,Flyer,11.64,,,
ORDER00645,CUST0277,12/27/2025,Business Card,11.35,,,
ORDER00656,CUST0179,12/27/2025,Photo Book,25.16,,,
ORDER00031,CUST0213,12/28/2025,Poster,12.79,,,
ORDER00263,CUST0278,12/29/2025,Flyer,10.37,,,
ORDER00414,CUST0236,12/29/2025,Business Card,9.61,,,
ORDER00839,CUST0294,12/30/2025,Canvas Print,39.19,,,
ORDER00871,CUST0073,12/30/2025,Canvas Print,40.75,,,
ORDER00117,CUST0092,12/31/2025,Photo Book,27.41,,,
ORDER00162,CUST0177,12/31/2025,Canvas Print,38.17,,,
ORDER00562,CUST0012,12/31/2025,Greeting Card,5.46,,,
ORDER00974,CUST0049,12/31/2025,Greeting Card,5.44,,,
